epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202047,2020-11-21,US,US,81658,548,,4.098571428571429,0.2785714285714286,4.397142857142857,1.6342857142857141,4.031428571428571,4.314285714285714,2.2885714285714287,3.3985714285714286,0.7557142857142857,1.3071428571428572,1.5014285714285713,0.26285714285714284,0.18142857142857144,1.56064,22709,3334,1585429,38746,34,54,0.22712,0.087751,0.139369
202048,2020-11-28,US,US,85974,589,,3.782857142857143,0.2571428571428572,4.178571428571429,1.5685714285714287,3.9171428571428573,3.934285714285714,2.2971428571428567,3.295714285714286,0.71,1.3214285714285714,1.457142857142857,0.22571428571428573,0.16285714285714287,1.61944,21313,3333,1421255,35276,19,36,0.155913,0.053861,0.102052
202049,2020-12-05,US,US,94856,588,,3.9314285714285715,0.26,4.3914285714285715,1.5571428571428572,4.111428571428571,4.252857142857143,2.337142857142857,3.3742857142857146,0.7542857142857143,1.3314285714285714,1.5185714285714287,0.25285714285714284,0.17857142857142858,1.57347,22251,3339,1534905,42526,31,65,0.225744,0.0728966,0.152848
202050,2020-12-12,US,US,100638,587,,3.93,0.2642857142857143,4.319999999999999,1.5185714285714287,4.077142857142857,4.1814285714285715,2.294285714285714,3.37,0.7514285714285714,1.33,1.4942857142857144,0.25142857142857145,0.18714285714285714,1.51939,22103,3358,1549810,41778,26,76,0.244148,0.0622337,0.181914
202051,2020-12-19,US,US,104391,777,,3.748571428571428,0.24714285714285714,4.228571428571429,1.5,3.9214285714285713,3.9714285714285715,2.2328571428571427,3.27,0.7057142857142856,1.3314285714285714,1.4728571428571429,0.23285714285714285,0.16571428571428573,1.50599,20874,3299,1493163,40917,36,81,0.285945,0.087983,0.197962
202052,2020-12-26,US,US,104937,825,,3.61,0.25142857142857145,4.144285714285714,1.5557142857142858,3.8771428571428572,3.6771428571428575,2.3299999999999996,3.2485714285714287,0.6728571428571428,1.337142857142857,1.4657142857142857,0.19571428571428573,0.1442857142857143,1.55485,19836,3301,1361197,36310,34,67,0.27816,0.0936381,0.184522
202053,2021-01-02,US,US,111286,804,,3.8971428571428572,0.26857142857142857,4.57,1.6385714285714286,4.354285714285714,4.131428571428572,2.5828571428571427,3.5285714285714285,0.7300000000000001,1.4728571428571429,1.9914285714285713,0.2057142857142857,0.1457142857142857,1.58903,22423,3280,1458113,40471,34,73,0.264387,0.0840108,0.180376
202101,2021-01-09,US,US,117659,658,,3.8099999999999996,0.26,4.2785714285714285,1.5,4.255714285714285,4.312857142857143,2.382857142857143,3.5042857142857144,0.7342857142857142,1.4028571428571428,1.5514285714285714,0.23714285714285713,0.16142857142857145,1.47519,22711,3316,1582870,44971,28,95,0.27351,0.0622623,0.211247
202102,2021-01-16,US,US,109843,660,,3.6471428571428572,0.2414285714285714,4.035714285714286,1.3985714285714284,4.132857142857143,4.321428571428571,2.3414285714285716,3.4785714285714286,0.7314285714285714,1.3557142857142856,1.5357142857142858,0.24,0.1642857142857143,1.28752,19018,3278,1508647,41807,24,48,0.17222,0.0574067,0.114813
202103,2021-01-23,US,US,96474,562,,3.5300000000000002,0.21857142857142858,3.8871428571428575,1.3942857142857144,4.2214285714285715,4.297142857142857,2.3814285714285717,3.54,0.7314285714285714,1.3814285714285715,1.5728571428571427,0.25142857142857145,0.16714285714285712,1.25172,18350,3315,1515305,39002,21,62,0.21281,0.0538434,0.158966
